name;protein;fats;carbohydrate;calorie
Творог «Савушкин» классический, 9%, 200 г;16;9;1.5;151,0
Творог «Брест-Литовск» 9%, 200 г;16;9;1.5;151
Десерт «А.Ростагрокомплекс» Прага, персик-груша, 90 г;5;27;39;420
Десерт «А.Ростагрокомплекс» суфле в молочном шоколаде, 80 г;5;27;49;460
Йогурт «Агуша» Засыпайка, зеленое яблоко и мелисса, 2.7%, 180 г;2.8;2.7;9.3;73
Арбуз, 1 кг;1.2;0.2;3.2;12
Творог«Савушкин» зерненый, 5%, 450 г;16;5;1.5;115
Творог «Савушкин» зерненый 5%, 300 г;16;5;1.5;115
Сметана «Свежие новости» 22%, 380 г;2.5;22;2.9;220
Сыр «Фестиваль сыров» Сулугуни, 45% 1 кг;25;24;310;/
Сметана «Бабушина крынка» 20%, 330 г;2.5;20;2.9;200
Сливки «Альпенгрут» 10 шт, 10 %, 100 г;2.6;10;4.5;491
Творожный десерт «Вкусная Ложка» масса с ароматом ванили, 21%, 380 г;2.9;21;16;265
Масса десертная творожная «Молочные горки» с изюмом, 20%, 380 г;2.9;20;19.2;268
Йогурт «Савушкин» Апети, с шоколадными шариками со вкусом вишня, 5%, 105 г;2.9;5;14;112.6
Масло «Брест-Литовск Финское» 80%, 180 г;0.7;80;1;726.
Йогурт «СуперКид» пломбир с маршмеллоу, 2%, 103 г;3.3;2;13.8;86.4
Йогурт «Савушкин» Апети, пломбир и злаковые шарики со вкусом шоколада и фундука, 5%, 105 г;2.9;5;14;112.6
Сыр горячего копчения «Беловежский» с перцем и чесноком, 42%, 1 кг;26.7;23.9;1338,2;/322
Сыр «Arla Natura» сливочный, 45%, 200 г;25;26;0;340
Пищевой продукт на основе обезжиренного молока «Вкусная ложка» 25%, 400 г;2.2;25;4.6;252
Сыр полутвердый «Брест-Литовск» Чеддер, 45%, 200 г;25;24.6;316,0;/1313,0
Гранадилла «Artfruit»;0.5;0.1;8;46
Имбирь «Artfruit» 250 г;1.8;0.8;18;80
Киви «Artfruit» Green;1.1;0.5;15;61
Напиток «Alpro» кокосовый без сахара, 1 л;0.1;12;0.4;13
Шампиньоны замороженные «Мираторг» нарезаные , 400 г;4.3;1;0.1;14
Молоко пастеризованное «Вкусное» 3.3%;3.2;3.2;4.7;60
Молоко пастеризованное «Вкусное» 2.6%;3.2;3.2;4.7;60
Сыр мягкий «Bonfesto» Рикотта, 50 %, 250 г;9;12.5;2.3;157.7
Йогурт питьевой «Teos» Active, манго, 1.8%, 260 г;5.2;1.8;8.5;71
Йогурт питьевой «Teos» Active, черника, 1.8%, 260 г;5.2;1.8;8.5;71
Йогурт питьевой «Teos» Active, вишня-гранат, 1.8%, 260 г;5.2;1.8;8.5;71
Йогурт питьевой «Teos» Active, натуральный, 2%, 260 г;5.8;2;3;53.2
Йогурт питьевой «Савушкин» Легкий, со вкусом малины, 1%, 900 г;2.9;1;11.5;66.6
Сыр твердый «Брест-Литовск» выдержанный экстра, 45%, 150 г;26;27.4;350.6;/
Томат «Слива» ;1;0.2;3;20
Йогурт «Zvonka» ананас-манго, 2 %, 310 г;3.2;2;16.4;95
Масло «Стары Менск» 82.5%, 160 г;0.5;82.5;0.8;750
Масло «Малочны Фальварак» 82.5%, 160 г;0.5;82.5;0.8;750
Масло сладкосливочное «Fresko Amato Linea» несоленое, 82.5%, 160 г;0.5;82.5;0.8;750
Продукт сметанный «Вкусная ложка» 15 %, 400 г;2.5;15;5;165
Манго «Artfruit» Ready to Eat;0.82;0.38;15;60
Сметана «Рогачевъ» 19%, 400 г;2.6;19;2.9;190
Сырок «Alpen Gold» с кокосовой стружкой в глазури, 40 г;11.1;25.3;32.8;404
Огурец колючий;0.8;0.1;2.5;14
Сливки питьевые «Молочный гостинец» 20%, стерилизованные, 1 л;2.7;20;3.7;210
Молоко «Стары Менск» 2%;3.1;2;4.7;50
Сыр полутвердый «Брест-Литовск» российский, 50%, 500 г;22.5;28;342;/
Сыр полутвердый «Брест-Литовск» монастырский, 45%, 200 г;25.5;24.7;324.3;/
