name;protein;fats;carbohydrate;calorie
Сливки безлактозные пастеризованные «Ляховичок» 10%, 500 мл;2.8;10;4;117,0
Напиток кисломолочный «Тайран по-турецки» со вкусом солёного огурца с укропом, 1,5 % 220 г;1.9;1.5;3.1;34
Сырок тво­рож­ный гла­зи­ро­ван­ный «Топ» ваниль-пломбир и кусочками шоколадной глазури, 20%, 35 г;8.5;25.8;27.6;377.5
Сырок тво­рож­ный гла­зи­ро­ван­ный «Топ» с какао и кусочками шоколадной глазури, 20%, 35 г;8;25.9;28.7;379.9
Мороженое пломбир «28 копеек» кофейный в глазури эскимо, 70 г;2.9;23.9;20.3;308
Мороженое пломбир «20 копеек» клубничный в вафельном сахарном рожке с глазурью, 80 г;5.2;12.6;35.4;276
На­пи­ток кис­ло­мо­лоч­ный «Exponenta Иммуно Шот» со вкусом Кола, 2,55%, 100 г;3.1;2.5;5.2;56
Сметана «Беллакт» 17%, 180 г;2.6;17;2.9;175
Сметана «Беллакт» 17%, 380 г;2.6;17;2.9;175
Торт c творогом «Беллакт» с начинкой ореховая нуга в глазури, 24 %, 200 г;6.8;21.8;37;371,4
Сырок тво­рож­ный гла­зи­ро­ван­ный «Топ» со вкусом соленая карамель и кусочками глазури, 20%, 35 г;8.5;25.9;28.4;380.7
Сыр творожный «Sveza» базилик, чеснок и петрушка, 60%, 150 г;6;22;3.5;236
Сметана «Витебское молоко» 25%, 500 г;2.4;25;2.9;246.2
Сыр полутвердый «Басни о сыре» Чеддер Лайт, 40%, 1 кг;25.8;20.5;290;/
 Йогурт «Ба­буш­ки­на крын­ка» с фруктовым наполнителем банан, 2%, 150 г;2;3.2;14.7;90
Продукт белковый «Fresko» Чиз лайк, на кокосовом масле, 50%, 700 г;5;18;12;320
Сыр полутвердый «Sveza» Сулугуни, 40%, 1 кг;23;21.6;286;/
Сметана «Беллакт» 24%, 380 г;2.5;24;2.9;237.6
Коктейль «Непоседа» мультифруктовый со сливками, 200 мл;0.7;3.8;8;70
Мороженое «Чебурашка» аромат ванили и апельсиновый наполнитель, 70 г;3.5;7;28;190
Уп. Коктейль «Непоседа» банановый с молоком, 27х200 мл;1.5;1.5;10;60
Уп. Коктель «Непоседа» клубнично-банановый  со сливками, 27х200 мл;1;4;9;75
Уп.Коктейль «Непоседа» яблочный с молоком, 27х200 мл;1;0.5;9;45
Уп. Коктейль «Непоседа» мультифруктовый со сливками, 27х200 мл;0.7;3.8;8;70
Сметана «Беллакт»  17,0%, 400 г;2.6;17;2.9;175
Йогурт низколактозный «Молочный Мир» 3%, ананс - куркума, 350 г;3.6;3;9;75
Йогурт низколактозный «Молочный Мир» 3%, клубника -земляника, 350 г;3.6;3;9;75
Йогурт низколактозный «Молочный Мир» 3%, манго, 350 г;3.6;3;9;75
Сыр плавленый «Ласковое лето» со вкусом и ароматом ветчины, 45%, 100 г  ;12.3;15.6;5;209.6
Сыр полутвердый «Брест-Литовск» Легкий, 35%, 380 г  ;31.2;18.2;288.6;/
Сыр плавленый «Ласковое лето» сливочный, 45%, 100 г  ;12.3;15.6;5;209.6
Сливки питьевые стерилизованные «Бабушкина крынка» 10%, 1000 г;10;2.8;4;120
Напиток кисломолочный обезжиренный «Exponenta High-pro» малина-банан, 250 г;12;2.5;60;/
Сыр «Молочный мир» Белорусское золото, 45%, 1 кг;25.8;26.4;340;/
Сыр полутвердый «Брест-Литовск» с ароматом топленого молока,45 %, 1 кг;25.5;24.4;324.3;/1347.4
Масло  «Брест-Литовск» сладкосливочное, несоленое, высший сорт, 72,5, 400 г ;0.8;72.5;1.3;660.9/
Мороженое сливочное «Биг Топ» ром, изюм, шоколад, 7%, 250 г;3.5;7;26;180
Мороженое сливочное «Биг Топ» с ароматом ванили, 7%, 250 г;3.5;8.5;20;170
Мороженое сливочное «Биг Топ» вишня, ваниль, шоколад, 7%, 250 г;3.5;7.5;25;180
Фруктовый лед «Топ» мандарин, лимон, 70 г;26;100;/;440
Смесь сухая для мороженого «Sovetskoe» 1 кг;22.5;7;63.3;406
Морковь, 1 кг;0.5;0.3;11.5;67
Пудинг творожный «Савушкин» со вкусом молочного шоколада, 4.0 %, 130 г;6;4;10;106
Пудинг творожный «Савушкин» со вкусом вишни, 4.0 %, 130 г;6;4;10;106
Пудинг творожный «Савушкин» со ароматом ванили, 4.0 %, 130 г;6;4;10;106
Пудинг творожный «Савушкин» со вкусом карамели, 4.0 %, 130 г;6;4;10;106
Лук репчатый;1.5;0.2;8.3;68
Сыр плавленый «President» с грибами, 40%, 150 г;12.5;17.5;5;228
Кефир «Савушкин» 2.5%, 950 г;2.8;2.5;4;49.7
Напиток на основе молочной сыворотки «Skittles» апельсин, 950 мл;0.9;10.3;45;/
Напиток на основе молочной сыворотки «Skittles» вишня-клюква, 950 мл;0.9;10.3;45;/
Биойогурт «АктиБио» яблоко-вишня-финик, без сахара 1,5%, 260 г ;1.5;3;10.1;66
Биойогурт «АктиБио» с черникой, злаками и льняными семенами, 3%, 130 г;3;4.2;14.9;103
Биойогурт «АктиБио» с вишней 2,9%, 130 г ;2.9;4;15;102
Биойогурт «АктиБио» ананас, маракуйя, шпинат и семена чиа, 2.2%, 140 г;2.2;3.3;14.4;91
Биойогурт «АктиБио» с черносливом 2,9%, 130 г;2.9;4.1;14.1;99
Биойогурт «АктиБио» натуральный 3,5%, 130 г;3.5;4.8;7.6;81
Биойогурт «АктиБио» персик, манго, гуава, чиа, амарант и лен, 140 г;2.2;3.3;15.2;94
Биойогурт «АктиБио» с клубникой 2,9%, 130 г;2.9;4.1;14.6;101
Биойогурт «АктиБио» груша, киви, виноград и спирулина, 2.2%, 140 г;2.2;3.2;15;93
Биойогурт «АктиБио» с виноградом,манго,папайей и чиа без сахара 2,9%, 130 г ;2.9;3.8;9.8;81
Биойогурт «АктиБио» клубника-голубика-асаи-семена чиа 2,0%, 140 г;2.2;3.3;14.9;93
Биойогурт «АктиБио» с вишней, яблоком и малиной без сахара 2,9%, 130 г ;2.9;3.8;9.2;78
Биойогурт «АктиБио» с клубникой, яблоком и питахайей без сахара 2,9%, 130 г ;2.9;3.8;9.3;79
Биойогурт «АктиБио» натуральный 3,5%, 220 г;3.5;4.8;7.6;81
Биойогурт «АктиБио» с манго 3,0%, 110 г;3;3.9;12;91
Биойогурт «АктиБио» с малиной 3,0%, 110 г;3;3.9;12;91
Биойогурт «АктиБио» с черникой и ежевикой, 3.0%, 110 г;3;3.9;11.9;90
Биойогурт «АктиБио» с отрубями и злаками, 2.9%, 220 г;2.9;4.3;13.6;98
Биойогурт «АктиБио» черника, злаки и льняные семена, 1.6%, 260 г;1.6;3;11.9;74
Биойогурт «АктиБио» с клубникой и земляникой 1,5%, 260 г ;1.5;2.9;11.9;73
Биойогурт «АктиБио» с вишней и семенами чиа, 1.5%, 260 г;1.5;2.9;11.4;71
Биойогурт «АктиБио» с малиной и гранатом, 1.5%, 260 г;1.5;2.9;12.2;74
Биойогурт «АктиБио» натуральный 1,8%, 260 г ;1.8;3.5;5.3;51
Биойогурт «АктиБио» с дыней, клубникой и земляникой, 1.5%, 260 г;1.5;2.9;12.5;75
Биойогурт «АктиБио» с манго и яблоком, 1.5%, 260 г;1.5;2.9;11.6;72
Биойогурт «АктиБио» со злаками 1,6%, 260 г;1.6;3;11;70
Биойогурт «АктиБио» яблоко-клубника-черника, без сахара 1,5%, 260 г ;1.5;3.1;10.2;67
Биойогурт «АктиБио» яблоко-персик без сахара 1,5%, 260 г ;1.5;3;10.1;66
Мороженое «Каприз» пломбир с тертой ванилью и крошкой печенья, 150 г  ;2.9;12.4;23.1;216
Мороженое «Каприз» пломбир шоколадный, 150 г  ;3;13.2;22.3;220
Яйца куриные вареные в маринаде, 1 сорт,  200 г;12.7;11.5;0.7;160
Молоко «Здравушка» А2 стерилизованное, с массовой долей жира 3,2 %, 1 л;3.1;3.2;4.7;60
Сыр «Голландский» 45%, 1 кг;27.4;26.4;347.2;/
Йогуртный продукт «Fruttis» вишня-черника 5%, 115 г;2.2;5;17;122
Йогуртный продукт «Fruttis» сливочное лакомство, 5%, 115 г;2.2;5;16;120
Йогуртный продукт «Fruttis» персик-маракуйя, вишня, 8%, 115 г;2.1;8;16;140
Йогуртный продукт «Fruttis» груша, яблоко, клубника, 8%, 115 г;2.1;8;16;140
Сгущенное молоко «Ирландский крем» 8.5%, 380 г;8;8.5;56;330
Мороженое эскимо «BRandICE» миндально-фисташковое, 70 г;3.7;16.3;17.2;230
Мороженое эскимо «BRandICE» белый бархат, 70 г;4.4;22;29.1;332
Мороженое «BRandICE» бейсбольный орешек, 600 г;5;12;28;240
Мороженое «BRandICE» миндально-фисташковое,600 г;5;18;20;270
Мороженое «BRandICE» пралине, 600 г;4;12;31;60
Мороженое «BRandICE» сливки с печеньем, 600 г;4;15;27;250
Десерт вегетарианский взбитый «Frudoza Vegan» замороженный, с тертой ванилью, 145 г;1;4.7;26.9;160
Десерт вегетарианский взбитый «Frudoza Vegan» замороженный, с протертыми фисташками, 145 г;1.4;6.2;25.6;164
Молочный коктейль «Топ» со вкусом пломбира, 2 %, 450 г;2.3;2;9;63.2
Сырок творожный глазированный «Топ» с ароматом ванили в темной глазури, 20%, 40 г;9.5;22.8;28.6;357.6
Сырок творожный глазированный «Топ» абрикос, 20%, 40 г;8;23.2;30.6;363.2
Сырок творожный глазированный «Топ» пина колада, 20%, 40 г;8;23.2;30.6;363.2
Сыр «РогачевЪ» со вкусом сгущенного молока,  45%200 г;23;25;320;/1330
Мороженое «Frudoza» vegan, со вкусом клубники, 145 г;1.1;5.4;26.7;159
Сыр полутвердый «Брест-Литовск» сливочный, 50 %, 1 кг;22.5;29.5;355.5;/1487.9
Сыр полутвердый «Брест-Литовск гранд» маасдам, 45 %, 1 кг;25.4;26.1;336,5;/1397,5
Сыр мягкий сливочный «Молочный мир» 55%,300 г;7.4;20;3.2;230
Сыр «Королевский трюфель» с грибами ,45%, 1 кг;26;28;360;/1510
Молоко концентрированное стерилизованное «Топленое молоко» цельное, 8.6%, 300 г;6.5;8.6;10.5;150
Авокадо;0.9;0.1;3;31
Сельдерей корень;1.5;0.3;42;/
Сыр колбасный «Молочный гостинец» Минчанка, 40%, 1 кг;23;19.2;265;/
Яйца перепелиные «Молодецкие» 20 шт;12.8;13.1;0.6;168
Молоко «Славянские традиции» стерилизованное, 3.2%;3.1;3.2;4.7;60
Сырок творожный глазированный «Молочная страна» с печеньем, клубника, 40 г;9.1;21.4;41.8;400
Сырок творожный глазированный «Молочное раздолье» с ванилином, 26%, 50 г;7.3;28.2;31.7;411
Молочный десерт «Kinder Pingui» пирожное бисквитное, 30 г;7;29.7;37.8;450
Сливки порционные «Campina» стерилизованные, 10%, 10 г;3;10;4.1;120
Сырок творожный «Молочная страна» Любимый, аромат ванилина, 8.5%, 100 г;14.4;8.5;11.8;180
Яблоко «Мутсу»;0.26;0.18;13.8;52
Сметана «Витебское молоко» 20%, 500 г;2.5;20;2.9;202
Слива крупная, 1 кг;0.8;0.3;9.6;53
Мороженое «28 копеек» пломбир в лимонной глазури, 70 г;3.1;25.1;19.6;317
Бифидопродукт «Бифидин-Вита» абрикос 3.2%, 200 г;3.1;3.2;8.7;76
Тыква;2.5;0.3;5.4;30
Мороженое «Soletto» фисташки и марципан, 75 г;3.5;11;35;250
Масло сладкосливочное «Бабушкина крынка» Элитное, несоленое, 84%, 180 г;0.6;84;0.8;760
Йогурт «Даниссимо» с хрустящими шариками в шоколаде 6,9%, 105 г;3.1;6.9;12.3;124
Сырок творожный глазированный «Молочная страна» с печеньем, сгущенка, 40 г;9.4;21.9;41.7;400
Персик;0.9;0.2;11.8;53
Йогурт питьевой «Оптималь» без сахара, 2%, 415 г;3.3;2;5.2;52
Сгущенное молоко «Рогачевъ» цельное с сахаром, 8.5%, 380 г;7.2;8.5;43.5;330
Сгущенное молоко «Рогачевъ» с сахаром, 8.5%, 380 г;7.2;8.5;56;329
Сгущенное молоко «Рогачевъ» с сахаром и какао, 7.5%, 380 г;8.2;7.5;54.6;318.7
Лук порей;3;0.1;8.2;40
Яйца куриные «Оршанская Птицефабрика» С2;13;11.5;1;132
Бифидопродукт «Бифидин» Здоровячок, 3.2%, 200 г;3.1;3.2;8.7;76
Сыр плавленый «President» сливочный, 45%, 400 г;12.5;7.5;5;138
Ряженка «Савушкин» 3.2 %, 420 мл;2.8;3.2;4.1;56.4
Капуста квашеная «Leor» классическая, 850 г;2;2;15;/
Мандарин;0.9;0.2;7.3;35
Лимон;0.9;0.1;3;34
Творожный продукт «Даниссимо» с хрустящими шариками 7,2%, 130 г;5;7.3;16.8;153
Творожный продукт «Даниссимо Браво» с шоколадом 6,7%, 130 г;5.1;7;15.9;147
Грейпфрут «White Marsh»;0.9;0.2;7.3;35
Груша «Пакхам»;0.6;0.4;15.1;44
Кефир «Савушкин» 1.5%, 950 г;3;1.5;4;41.5
Нектарин;0.9;0.2;11.8;53
Сыр полутвердый «Брест-Литовск» сливочный, 50%, 1 кг;22.5;29.5;0;355.5
Томат слива грунтовой,  1 кг;1;0.2;3;20
Кефир «Сафiйка» 2.5%, 950 г;3.2;2.5;4;51
Сгущенное молоко «Рогачевъ» цельное с сахаром, 8.5%, 380 г;8;8.5;56;330
Молоко «Моя Славита» ультрапастеризованное, 3.2%;2.8;3.2;4.7;59
Молоко детское «Депи» стерилизованное, 3.2%;2.8;3.2;4.7;60
Мороженое «Тимоша» пломбир классический, 12%, 1 кг;3.1;12.1;20.1;201.7
Сыр копченый «Белорусский» колбасный , 40%, 1 кг;23;19.1;260;/
Укроп «СидСад» Аллигатор, 70 г;3.5;1.1;7;47
Молоко «Моя Славита» ультрапастеризованное, 2.5%;2.8;2.5;4.7;53
Рассольный продукт «Сиртаки» Сербская брынза, 55%, 500 г;7.2;22;2;235
Сыр мягкий «President» брынза, 45%, 250 г;12;16.7;3.7;213
Сыр плавленый «President» сливочный, 45%, 50 г;7.8;17;5;204
Молочный пудинг «Ehrmann» Эрмигурт, карамельный, 3%, 100 г;2.6;3;16.8;112
Молочный пудинг «Ehrmann» Эрмигурт, шоколадный 3.2%, 100 г;2.8;3.2;18;112
Йогуртный продукт «Ehrmann» Аlpenland, фруктовый, 0.3%, 95 г;2.5;0.3;17;80
Йогуртный продукт «Ehrmann» Аlpenland, фруктовый, 0.3%, 95 г;2.4;0.3;17;80
Йогуртный продукт «Ehrmann» Аlpenland, фруктовый, 0.3%, 95 г;2.5;0.3;17;80
Йогуртный продукт «Ehrmann» Аlpenland, клубника, персик-маракуйя, 0.3%, 95 г;2.5;0.3;17;80
Сливочный десерт «Беллакт» Panna Cotta, ванилин, 10%, 150 г;1.9;10;15.2;158
Сливочный десерт «Беллакт» Panna Cotta, какао, 10%, 150 г;2;10;15.3;159
Мороженое «Каприз» пломбир ванильный, 95 г;4.5;12;38;280
Мороженое «Юкки» птичье молоко с какао, 65 г;3.5;22;27;320
Молоко «Славянские традиции» стерилизованное, 2.5%;3.1;2.5;4.7;55
Молоко «Славянские традиции» стерилизованное, 1.5%;3.1;1.5;4.7;45
Мороженое «28 копеек» Пломбир классический, эскимо, 70 г;3.5;23.9;19.6;307
Мороженое «20 копеек» пломбир классический, 70 г;4.3;14.2;23.8;241
Молоко детское «Депи» стерилизованное, 3.2 %;2.8;3.2;4.7;60
Сыр полутвердый «Брест-Литовск» Классический, 45%, 150 г;26.3;26.1;340.1;/
Сырок творожный глазированный «Тимоша» с ванилином, 23%, 45 г;8.2;26.2;32.3;397.7
Кефир «Депи» 3.2%, 250 г;3;3.2;4;230-240
Сыр полутвердый «Брест-Литовск» Легкий, 35%, 150 г;31.2;18.2;288.6;/
Молоко «Сафiйка» ультрапастеризованное, 3.2%;2.8;3.2;4.7;59
Мороженое «20 копеек» пломбир классический, 225 г;4;15;19;230
Фруктовый лед «УП Минский хладокомбинат №2» плодово-ягодный, 100 г;0.1;0;26.3;105.6
Крем сливочный «Петмол» ультрапастеризованный 33%, 500 мл;1.9;33;2.8;316
Крем сливочный «Петмол» ультрапастеризованный 33%, 1 л;1.9;33;2.8;316
Сыр копченый «Чечил особый» косичка, 45%, 1 кг;18;24.8;315;/
Сыр копченый «Чечил особый» 45%, 1 кг;19;27;299;/
Молоко «Сафiйка» ультрапастеризованное, 2.5%;2.8;2.5;4.7;53
"Сы ""Голландский брусковый"" 45%, 1 кг";26.3;25.2;332;/
Творог «Славянские традиции» классический, 5%, 375 г;17.2;5;1.8;120
Мороженое «Топ» шоколадное, с кусочками шоколада, 70 г;4.5;9;26;910
Сливки питьевые «Петмол» ультрапастеризованные 22%, 500 мл;2.3;22;4;223
Лук репчатый красный;1.4;0.2;15.9;62
Творожный десерт «Савушкин» мак-изюм-бисквит, 3.5%, 120 г;7;3.5;13;111.5
Творожный десерт «Савушкин» черника, 3.5%, 120 г;6;3.5;13;107.5
Творожный десерт «Савушкин» чизкейк, 3.5%, 120 г;6;3.5;13;107.5
Творожный десерт «Савушкин» кокос-миндаль, 3.5%, 120 г;7;3.5;13;111.5
Творожный десерт «Савушкин» вишня, 3.5%, 125 г;6;3.5;13;107.5
Молоко «Брест-Литовск» ультрапастеризованное, 2.8%;3;2.8;4.7;56
Молоко «Молочный гостинец» ультрапастеризованное, 3.2%;3.1;3.2;4.7;60
Вареное сгущенное молоко «Глубокое» Лакомка, с сахаром, 8.5%, 380 г;6.4;8.5;54.5;320
Сливки «Parmalat» ультрапастеризованные, 35%, 500 г;2.1;35;3.2;336
Простокваша «Брест-Литовск» 2.5 %, 380 г;2.8;2.5;4.6;52.1
Сгущенное молоко «Глубокое» с сахаром и цикорием, 7%, 380 г;8.4;7;53.6;330
Концентрированное молоко «Глубокое» стерилизованное 8.6%;7.9;8.6;9.6;150
Ряженка «Брест-Литовск» 2.5%, 380 г;3;2.5;4.2;51.3
Сыр плавленный «Ясь Белоус» Классический, копченый, 40%, 1 кг;20;17.2;234.8;/
Томат розовый;1;0.1;3.8;14
Яйца куриные «Кобринская птицефабрика» С2, 10 шт;12.8;11.8;1;157
Яйца куриные «Оршанская Птицефабрика» Столовые, С1;13;11.5;1;159.5
Сгущенные сливки «Рогачевъ» с сахаром, 19%, 360 г;6.2;19;47;384
Творожный десерт «Агуша» творог с наполнителем яблоко-банан, 3.9 %, 100 г;7.5;3.9;10.2;106
Сыр мягкий «Galbani» Mozzarella, макси, 45%, 250 г;16.5;17;3;231
Сливки «Parmalat» ультрапастеризованные, 11%, 200 г;2.6;11;4;523
Сырок творожный глазированный «А.Ростагрокомплекс» ваниль, 26%, 50 г;8.5;28;33;290
Сырок творожный глазированный «А.Ростагрокомплекс» ваниль, 26%, 50 г;8.5;29;29;410
Творог «Савушкин» классический, 1%, 300 г;18;1;1.3;79
Творожный десерт «А.Ростагрокомплекс» Особая, с изюмом, 23%, 100 г;7.9;20.7;30.2;339
Сырок творожный «Молочная страна» Любимый, изюм, аромат ванилина, 8.5%, 100 г;13.6;8;15;190
Шампиньоны «Грибная Страна» культивируемые, 1 кг;4.3;1;0.1;27
Молочный коктейль «Чудо» с шоколадом, 2%, 960 мл;3;2;11.9;78
Сыр мягкий «Galbani» Mozzarella, шарики, 45%, 150 г;16.5;17;2;231
Сыр мягкий «Galbani» Mozzarella, 45%, 125 г;18;19;2;251
Сгущенные сливки «Глубокое» с сахаром, 19%, 360 г;6.5;19;47;385.2
Творожный десерт «Молочный Гостинец» взбитый, вишня, 7%, 125 г;7.1;7;12.9;143
Виноград «Ред глоб»;1.2;0.2;18.1;69
Сыр копченый «Чечил» 45%, 100 г;20;22;280;/
Лук репчатый белый;1.1;9;40;/
Сгущенное молоко «Глубокое» с сахаром, 8.5%, 380 г;7.2;8.5;56;330
Шампиньоны «Грибная Страна» Королевские, культивируемые, 1 кг;4.3;1;0.1;27
Молочный коктейль «Parmalat» Чоколатта, 1.9%, 250 мл;3.2;1.9;11.8;80
Йогуртный продукт «Нежный» с соком персика, 1.2%, 320 г;2.5;1.2;18.1;94
Йогуртный продукт «Fruttis» клубника, 5%, 290 г;2.2;5;16;120
Творожный десерт «Чудо» творожок взбитый, персик-маракуйя, 4.2%, 100 г;4.5;4.2;16.5;122
Творожный десерт «Чудо» творожок взбитый, вишня-черешня, 4%, 100 г;4.5;4;19.8;133
Творожный десерт «Чудо» творожок взбитый, вишня, 4.2%, 100 г;4.5;4.2;17.2;125
Творожный десерт «Чудо» творожок взбитый, клубника-земляника, 4%, 100 г;4.5;4;18.3;127
Творожный десерт «Чудо» творожок взбитый, персик-груша, 4.2%, 100 г;4.5;4.2;18.1;128
Напиток кисломолочный «Молочный мир» ДарАйран, 1.5%, 500 г;1.4;1.5;2.4;29
Набор зелени «СидСад» Традиционный, 100 г;2.3;0.6;5.1;30.6
Творог «Савушкин» 101 зерно + сливки, зерненый, малина, 5%, 130 г;10.6;5;56;224
Творог «Савушкин» 101 зерно + сливки, зерненый, черника, 5%, 130 г;10.6;5;2.8;98.6
Творог «Савушкин» 101 зерно, сливки, зерненый, клубника, 5%, 125 г;10.6;5;2.8;224
Творог «Савушкин» 101 зерно + сливки, зерненый, 5%, 350 г;10.6;5;2.8;98.6
Йогурт питьевой «Оптималь» клубника, малина, 2%, 415 г;2.9;2;12.3;78.8
Йогурт питьевой «Оптималь» чернослив и злаки, 2%, 415 г;2.9;2;12.3;78.8
Йогуртный продукт «Fruttis» клубника-земляника, 2.5%, 165+15 г;2.5;2.5;15.7;96
Творог «Савушкин» 101 зерно + сливки, зерненый, 5%,130 г;10.6;5;2.8;98.6
Сыр мягкий «Беловежские сыры» Белая Фета, 40%, 250 г;13.6;12;5.5;184.4
Творожный десерт «Молочный Гостинец» взбитый, малина-гаранат, 7%, 125 г;7.1;7;12.9;143
Сыр «Савушкин» Брест-Литовск классический, 45%, 1 кг;26.3;26.1;340.1;/
Йогурт «Беллакт» клубника 2.6 %, 400 г.;2.6;3.1;12.7;86.6
Манго;0.9;0.1;3;31
Сырок творожный глазированный «А.Ростагрокомплекс» картошка, 20%, 50 г;8.1;23.8;41.6;413
Биокефир «Здравушка» 1 %, 930 мл;2.8;1;4;36
Кефир «Здравушка» 3.2%, 930 мл;2.8;3.2;4;56
Йогуртный напиток «Ehrmann» Эрмигурт, клубника-банан 1.2%, 290 г;2.5;1.2;13.5;75
Йогуртный напиток «Ehrmann» Эрмигурт, лесные ягоды 1.2%, 290 г;2.5;1.2;13.5;75
Йогуртный напиток «Ehrmann» Эрмигурт, персик-маракуйя 1.2%, 290 г;2.2;1.2;13;70
Йогуртный напиток «Ehrmann» Эрмигурт, клубника-киви 1.2%, 290 г;2.2;1.2;13;70
Сыр плавленый «President» ассорти, 45%, 140 г;9;17.5;5;214
Грибное ассорти «Лесные угодья» сушеные, с белыми грибами, 45 г;27;6;31;270
Подосиновики «Лесные угодья» сушеные отборные, 50 г;35;5.5;13;240
Молоко «Здравушка» Отборное, пастеризованное, 3.4%-6%;2.8;4.7;61;84
Мороженое «Юкки» Моя Аленка, сливочное, 65 г;3;18;26;280
Сыр плавленый «Сырный двор» Оршанский плюс, 45%, 80 г;13;22;7;275
Бифидопродукт «Бифидин-Крепыш» малина, 3.2%, 200 г;3.1;3.2;8.7;76
Молоко «Савушкин» ультрапастеризованное, 1.5%;3;1.5;4.7;43.5
Молоко «Савушкин» ультрапастеризованное, 3.1%;3;3.1;4.7;57.9
Мороженое «УП Минский хладокомбинат №2» Каштан, 80 г;3.1;23.9;20.1;307.9
Масло сладкосливочное «Брест-Литовск» несоленое, 82.5%, 180г;0.5;82.5;0.8;747.7
Гранат;0.9;0.1;3;31
Бифидопродукт  «Бифидин-Кроха» со вкусом груши, 3.2%, 200 г;3.1;3.2;8.7;76
Сыр полутвердый «Витебск Молоко» Пошехонский, 45%, 1 кг;25.9;25.2;330;/
Сыр мягкий «Bonfesto» Mozzarella, 45%, 250 г;15.1;17.6;218.8;/
Молочный коктейль «Молочный гостинец» Сладкая жизнь, банан, 2.5%, 210 мл;2.8;2.5;9.7;73
Молочный коктейль «Молочный гостинец» Сладкая жизнь, клубника, 2.5%, 210 мл;2.8;2.5;9.7;73
Молочный коктейль «Молочный гостинец» Сладкая жизнь, ваниль, 2.5%, 210 мл;2.8;2.5;9.7;73
Персик «Парагвай» крупный, 1 кг;0.9;0.2;10.4;44
Мороженое «УП Минский хладокомбинат №2» Эврика, с изюмом, 80 г;3.9;13.2;27.2;243.2
Сыр мягкий «Аристей» Фету, со вкусом оливок, 45%, 250 г;12.4;17.1;200;/
Йогурт «Савушкин» киви и крыжовник, 2%, 120 г;2.9;2;16.2;94.4
Шампиньоны «Грибная Страна» культивируемые, 400 г;4.3;1;0.1;27
Сыр мягкий «Bonfesto» Рикотта, 40 %, 250 г;11.3;10;2.5;145.2
Мороженое «УП Минский хладокомбинат №2» пломбир шоколадный, 80 г;3.2;15;18.5;221.8
Сыр мягкий «Bonfesto» Mozzarella, мини 12 шариков, 45%, 250 г;15.1;17.6;218.8;/
Творог зерненый «Савушкин» Ласковое лето, легкий, лесная ягода, 3%, 130 г;10;3;2.2;75.8
Творог «Савушкин» Легкий, зерненый, вишня, 3%, 130 г;10;3;2.2;96.2
Молоко «Молочный гостинец» ультрапастеризованное, 1.5%;2.8;1.5;4.7;44
Сгущенное молоко «Глубокое» с сахаром 8.5%, 380 г;7.2;8.5;56;330
Сыр мягкий «Bonfesto» Mascarpone, 78 %, 250 г;4.1;40;2.9;388
Сыр плавленый «Ласковое лето» сливочный, 45%, 170 г;12.2;15.6;5.3;210.4
Сыр плавленый «Ласковое лето» ветчина, 45%, 170 г;12.3;15.6;5;209.6
Молоко «Молочный гостинец» ультрапастеризованное, 2.5%;2.8;2.5;4.7;55
Сыр мягкий «Новогрудские дары» Адыгейский классический, 45%, 1 кг;16.5;18;0;228
Сыр мягкий «Bonfesto» Mascarpone, 78 %, 500 г;4.1;40;2.9;388
Коктейль молочный пастеризованный с ароматом «Клубника» 450 г;2.8;1.5;10;62.5
Масло сладкосливочное «Молочное раздолье» несоленое, 75%, 180 г;0.8;75;1.3;670
Мороженое «20 копеек» пломбир шоколадный, 225 г;3.5;15;20;230
Напиток «Свежесть» апельсин, 415 г;0.4;10.9;45.2;/
Напиток «Свежесть» сыворотка с соком тропических фруктов, 415 г;0.4;10.9;45.2;/
Йогурт «Савушкин» Апети, пломбир и хрустящие шарики, 5%, 105 г;2.9;5;14;112.6
Мороженое «УП Минский хладокомбинат №2» Столичное, крем-брюле, 80 г;3.1;15;20.1;310
Сыр мягкий «Аристей» Брынза, 45%, 250 г;13.2;17.1;210;/
Мороженое «Гоша» клубника, банан и киви, 65 г;2.3;5.1;22.2;144
Творог «Молочная страна» Домашний, зерненый, 4%, 400 г;13.5;4;1.7;95
Мороженое «ТОП» крем-брюле с карамелью, 250 г;3;12;26;220
Йогуртный продукт «Fruttis» вишневый пломбир/груша-ваниль, 8.0%, 115 г;2.1;8;16;140
Сыр плавленый «Ласковое лето» курица гриль, 45%, 170 г;15.7;19.3;3.8;251.8
Молоко питьевое «Милкавита» ультрапастеризованное, 2.5 %;2.82;2.5;4.7;52
Сыр полутвердый «Bonfesto» Моцарелла, 40%, 1 кг;26.3;21.3;297;/
Творог «Молочная страна» Домашний, зерненый, 4%, 500 г;13.5;4;1.7;95
Сырок творожный глазированный «Бабушкина крынка» ваниль, 23%, 45 г;7.8;25.7;32.1;390
Сырок творожный глазированный «Бабушкина крынка» сгущенка, 23%, 45 г;7.7;25.8;32.1;390
Маргарин «Золотая капля» Сливочный, 82%, 230 г;0.1;82;1;740
Масло сливочное «Сафийка» Полоцкое, несоленое, 70%, 180 г;1;70;1.5;640
Молоко «Milkavita» Premium, ультрапастеризованное, 1.5 %;2.8;1.5;4.7;44
Молоко «Milkavita» Premium, ультрапастеризованное, 3.2 %;2.8;3.2;4.7;59
